"filename", "language", "YAML", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\activity-feed.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 21, 6, 80
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\area-row.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 27, 11, 146
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\attention-board.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 14, 7, 57
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\capacity-meter.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 19, 6, 67
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\hub-anchor.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 11, 2, 38
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\hub-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 38, 10, 163
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\hub-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 22, 6, 82
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\mark-seen.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 14, 4, 28
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\now-board.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 15, 10, 94
"c:\Users\chris\Desktop\RO-Nation.live\src\components\invoice-status-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 8, 4, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\components\local-time.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 22, 10, 75
"c:\Users\chris\Desktop\RO-Nation.live\src\components\notifications\member-notifier.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 15, 1, 19
"c:\Users\chris\Desktop\RO-Nation.live\src\components\notifications\notifier-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 15, 1, 29
"c:\Users\chris\Desktop\RO-Nation.live\src\components\notifications\upgrade-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 27, 15, 147
"c:\Users\chris\Desktop\RO-Nation.live\src\components\official-mark.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 32, 3, 58
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner-members.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 12, 1, 23
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 0, 22, 9, 186
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 21, 17, 192
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\api-keys.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 16, 2, 44
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\payout-invoice.tsx", "TypeScript JSX", 0, 0, 0, 0, 183, 0, 33, 11, 227
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\print-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 2, 2, 16
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-activity.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 17, 9, 94
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-analytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 13, 8, 139
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-broadcast.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 5, 11, 118
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-comp.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 5, 8, 106
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-feedback.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 5, 11, 115
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\scope-settlement.tsx", "TypeScript JSX", 0, 0, 0, 0, 213, 0, 20, 14, 247
"c:\Users\chris\Desktop\RO-Nation.live\src\components\roster-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\components\roster-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 11, 3, 45
"c:\Users\chris\Desktop\RO-Nation.live\src\components\roster-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 12, 4, 31
"c:\Users\chris\Desktop\RO-Nation.live\src\components\roster-pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 14, 12, 94
"c:\Users\chris\Desktop\RO-Nation.live\src\components\roster-search.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 3, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\components\site-footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 22, 0, 24
"c:\Users\chris\Desktop\RO-Nation.live\src\components\studio\shows-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 16, 5, 115
"c:\Users\chris\Desktop\RO-Nation.live\src\components\survey-builder.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 17, 5, 155
"c:\Users\chris\Desktop\RO-Nation.live\src\components\survey-file-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 32, 19, 199
"c:\Users\chris\Desktop\RO-Nation.live\src\components\survey-results.tsx", "TypeScript JSX", 0, 0, 0, 0, 246, 0, 9, 16, 271
"c:\Users\chris\Desktop\RO-Nation.live\src\components\ticket\celebrate.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, 9, 0, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\components\ticket\checkout-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 3, 0, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\components\ticket\crowd-facepile.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 19, 8, 84
"c:\Users\chris\Desktop\RO-Nation.live\src\components\ticket\share-show.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 25, 8, 67
