"filename", "language", "Shell Script", "YAML", "JSON", "JSON with Comments", "Ignore", "Markdown", "TypeScript", "JavaScript", "Docker", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\intents\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 51, 11, 123
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\players\[robloxId]\tickets\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 33, 10, 118
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\gift\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 27, 10, 80
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\purchase\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 93, 13, 190
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\redeem\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 17, 7, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\reserve\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 41, 10, 109
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\revoke\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 21, 4, 31
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\verify\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 26, 7, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\void\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 16, 4, 26
"c:\Users\chris\Desktop\RO-Nation.live\src\app\authorise\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 16, 10, 99
"c:\Users\chris\Desktop\RO-Nation.live\src\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 4, 14, 104
"c:\Users\chris\Desktop\RO-Nation.live\src\app\blog\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
